low,close_mean_20,close_min_10,sma_10,obv,close_zscore_20,volume,close_std_20,close_kurt_20,volume_zscore_5,bb_low,rsi_14,close_over_high,close_skew_5,cci,close,close_skew_10,close_std_5,macd_signal,stoch_d,close_skew_20,close_std_10,bb_high,williams_r,volume_std_20,close_zscore_5,macd_line,volume_zscore_20,volume_zscore_10,volume_std_5,target
2292.08,,,,6.54754231,,6.54754231,,,,,,0.9999084261064088,,,2293.02,,,,,,,,,,,,,,,0
2290.38,,,,3.4371967,,3.11034561,,,,,,0.998600447333656,,,2290.38,,,,,,,,,,,,,,,0
2288.61,,,,-3.71370559,,7.15090229,,,,,,0.9994933989003264,,,2288.61,,,,,,,,,,,,,,,0
2285.25,,,,-7.854985840000001,,4.14128025,,,,,,0.9986191285652484,,,2285.25,,,,,,,,,,,,,,,0
2283.48,,,,-7.937937660000001,,0.08295182,,,-1.449811569739682,,,1.0,0.0059129681566814,,2283.48,,3.8444856613076257,,,,,,,,-1.2142066354885015,,,,2.844267987694714,0
2281.56,,,,-7.962097540000001,,0.02415988,,,-0.9611080746556128,,,1.0,0.187621014772427,,2281.59,,3.614632761429661,,,,,,,,-1.1818628009973196,,,,2.994219033100072,0
2280.1,,,,-11.43533054,,3.473233,,,0.1659707218303915,,,0.998205060852815,0.5963362185512225,,2280.1,,3.3134166656188646,,,,,,,,-1.1184829358935882,,,,3.0049128334192505,1
2280.54,,,,-9.64805357,,1.78727697,,,-0.0604925860772144,,,0.9999956177830366,0.4557964510444405,,2281.94,,1.9634586830388343,,,,,,,,-0.2709504430094649,,,,1.8928503710164488,0
2273.22,,,,-17.95622445,,8.30817088,,,1.627800300954952,,,0.9980960068789428,-1.497410532234985,,2275.08,,3.227200024789517,,,,,,,,-1.6602627537317374,,,,3.4236462339579266,0
2271.01,,2271.01,2283.046,-24.58964325,,6.6334188,,,0.7593727115805234,,,0.9987378401674673,-0.9128949400720404,,2271.01,-0.320875675130402,4.748487127496731,,,,6.746331019318869,,,,-1.4602545639953342,,,0.8469316253761463,3.4082958928206795,1
2274.36,,2271.01,2281.317,-21.63811313,,2.95153012,,,-0.6154259073062069,,,0.999639805846566,-0.115058454325523,,2275.73,-0.1907949760400983,4.328194773806136,,,,6.089751043990289,,,,-0.2407470214385939,,,-0.2858744339023966,2.7285101489309125,0
2272.3,,2271.01,2279.654,-30.81067168,,9.17255855,,,1.042804542146959,,,0.9992045913972823,1.0880349983826882,,2273.75,-0.0309177094273735,4.028817444363073,,,,5.589985489943788,,,,-0.4348670606684516,,,1.452887004962852,3.2623251515532545,1
2273.44,,2271.01,2278.577,-23.58281558,,7.2278561,,,0.1542549787742226,,,1.0,-0.4537360567330636,,2277.84,-0.1795142166273823,2.528926649787445,,,,4.627367982390181,,,,1.2487511254095822,,,0.8600340462292201,2.393110504007211,1
2277.99,,2271.01,2277.851,-23.34281558,,0.24,,,-1.3935926971257768,,36.080260340603104,1.0,-0.7020602611253043,,2277.99,-0.2396280044691877,2.944177304444232,,,,3.989676817878553,,-69.08768821966525,,0.9258953242675856,,,-1.0526313097396809,3.5914889080021304,0
2271.56,,2271.01,2276.742,-36.67420979,,13.33139421,,,1.3100829503984692,,28.99626750564623,0.9981463667470492,-0.278692900993765,,2272.39,-0.01954818725767,2.472609957111192,,,,3.7873438361655656,,-93.88839681133898,,-1.2739575002279413,,,1.851748656920388,5.149846742107394,0
2271.35,,2271.01,2275.805,-37.20542,,0.53121021,,,-0.983169827249094,,28.81133324128018,1.0,0.4306738441437713,,2272.22,0.365584981964967,2.8713010988062693,,14.49126945306184,,3.609577537608654,,-93.55010660981026,,-0.9117817706712682,,,-1.1341238861861702,5.664732022526713,1
2266.12,,2271.01,2275.151,-25.09815155,,12.10726845,,,0.8755239793808559,,32.46752138906743,1.0,0.4740968178138799,,2273.56,0.8733354073164111,2.890493037529435,,15.313231026508006,,3.3262807057346744,,-66.62180349932676,,-0.4289925572905342,,,1.2533933236208834,6.190261813083251,0
2271.28,,2271.01,2274.085,-25.44815155,,0.35,,,-0.7322224346465788,,29.67484350136573,1.0,1.7385832232930598,,2271.28,0.4800408234668423,2.64394969695069,,22.7893042999048,,2.518991200198333,,-71.46017699114861,,-0.8351142242025826,,,-1.1801073771160284,6.776594569101112,1
2273.45,,2271.01,2274.091,-24.58939955,,0.858752,,,-0.686660183239889,,39.208352205257846,1.0,0.8114414576995257,,2275.14,0.4712144852252469,1.4831115939152646,,37.26913334683272,,2.521694536089433,,-50.110619469026446,,1.4982014901076306,,,-0.8876827023500459,6.665557557749064,0
2274.92,2278.764,2271.28,2274.482,-25.27261571,-0.5839844085154481,0.68321616,6.582367515208013,-0.3220371439933129,-0.4318740612986812,2265.9326035054632,38.8848017548172,0.9999736261417684,-0.2825223884938597,-45.503519188652575,2274.92,0.3341052385308888,1.676866124652205,,42.367256637169184,0.8158386528286828,2.2826972349999552,2291.595396494537,-51.32743362831738,4.146594517453079,0.8921403909393044,,-0.9049443355760818,-0.7771690501988312,5.147040313825828,0
2273.71,2277.7985,2271.28,2274.28,-25.60249734,-0.7117793588039119,0.32988163,5.744055302292323,-0.2086937403187908,-0.4904165818072001,2266.601274852669,37.07276990636385,1.0,-1.149619668863558,-55.75649595663572,2273.71,0.6577535429777195,1.535877599291689,,48.836294366583815,0.8597096430124099,2.249118345784244,2288.99572514733,-52.05306380290474,4.212481437418698,-0.0078131226119223,,-0.900867759983629,-0.7705564313247351,5.170995663839456,1
