open,high,low,volume,log(volume),timestamp,open,high,low,close,volume,rsi_14,ema_10,sma_10,macd_line,macd_signal,bb_high,bb_low,williams_r,stoch_k,stoch_d,atr_14,adx,obv,cci,roc,spread_close_open,ratio_high_low,range_relative,close_over_high,close_over_low,close_mean_5,volume_mean_5,close_std_5,volume_std_5,close_zscore_5,volume_zscore_5,close_min_5,close_max_5,close_skew_5,close_kurt_5,close_mean_10,volume_mean_10,close_std_10,volume_std_10,close_zscore_10,volume_zscore_10,close_min_10,close_max_10,close_skew_10,close_kurt_10,close_mean_20,volume_mean_20,close_std_20,volume_std_20,close_zscore_20,volume_zscore_20,close_min_20,close_max_20,close_skew_20,close_kurt_20
2293.17,2293.23,2292.08,6.54754231,1.8790897593872515,2024-01-01 00:00:00,2293.17,2293.23,2292.08,2293.02,6.54754231,,,,,,,,,,,0.0,0.0,6.54754231,,,-0.1500000000000909,1.000501727688388,0.0005015220102746,0.9999084261064088,1.0004101078496388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2292.42,2293.59,2290.38,3.11034561,1.1347338486341787,2024-01-01 00:05:00,2292.42,2293.59,2290.38,2290.38,3.11034561,,,,,,,,,,,0.0,0.0,3.4371967,,,-2.039999999999964,1.0014015141592223,0.0014015141592225,0.998600447333656,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2289.77,2289.77,2288.61,7.15090229,1.9672385431496664,2024-01-01 00:10:00,2289.77,2289.77,2288.61,2288.61,7.15090229,,,,,,,,,,,0.0,0.0,-3.71370559,,,-1.1599999999998545,1.0005068578744305,0.0005068578744302,0.9994933989003264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2288.41,2288.41,2285.25,4.14128025,1.421004979163093,2024-01-01 00:15:00,2288.41,2288.41,2285.25,2285.25,4.14128025,,,,,,,,,,,0.0,0.0,-7.854985840000001,,,-3.1599999999998545,1.0013827808773657,0.0013827808773656,0.9986191285652484,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2283.48,2283.48,2283.48,0.08295182,-2.4894953216581124,2024-01-01 00:20:00,2283.48,2283.48,2283.48,2283.48,0.08295182,,,,,,,,,,,0.0,0.0,-7.937937660000001,,,0.0,1.0,0.0,1.0,1.0,2288.148,4.206604456,3.8444856613076257,2.844267987694714,-1.2142066354885015,-1.449811569739682,2283.48,2293.02,0.0059129681566814,-1.5132486213738296,,,,,,,,,,,,,,,,,,,,
2281.56,2281.59,2281.56,0.02415988,-3.723061872815275,2024-01-01 00:25:00,2281.56,2281.59,2281.56,2281.59,0.02415988,,,,,,,,,,,0.0,0.0,-7.962097540000001,,,0.0300000000002,1.0000131488981223,1.3148725231176542e-05,1.0,1.0000131488981223,2285.862,2.90192797,3.614632761429661,2.9942190331000718,-1.1818628009973196,-0.9611080746556128,2281.59,2290.38,0.187621014772427,-1.855895050165227,,,,,,,,,,,,,,,,,,,,
2283.89,2284.2,2280.1,3.473233,1.2450858604836428,2024-01-01 00:30:00,2283.89,2284.2,2280.1,2280.1,3.473233,,,,,,,,,,,0.0,0.0,-11.43533054,,,-3.789999999999964,1.0017981667470726,0.0017981667470724,0.998205060852815,1.0,2283.806,2.974505448,3.3134166656188646,3.0049128334192505,-1.1184829358935882,0.1659707218303915,2280.1,2288.61,0.5963362185512225,-0.224902317053111,,,,,,,,,,,,,,,,,,,,
2280.78,2281.95,2280.54,1.78727697,0.5806932157733766,2024-01-01 00:35:00,2280.78,2281.95,2280.54,2281.94,1.78727697,,,,,,,,,,,0.0,0.0,-9.64805357,,,1.1599999999998545,1.0006182746191692,0.0006178952996134,0.9999956177830366,1.000613889692792,2282.472,1.901780384,1.9634586830388343,1.8928503710164488,-0.2709504430094649,-0.0604925860772144,2280.1,2285.25,0.4557964510444405,-0.1840747874767435,,,,,,,,,,,,,,,,,,,,
2279.42,2279.42,2273.22,8.30817088,2.1172394739294518,2024-01-01 00:40:00,2279.42,2279.42,2273.22,2275.08,8.30817088,,,,,,,,,,,0.0,0.0,-17.95622445,,,-4.3400000000001455,1.0027274086977944,0.0027251788948082,0.9980960068789428,1.0008182226093385,2280.438,2.73515851,3.227200024789517,3.4236462339579266,-1.6602627537317374,1.627800300954952,2275.08,2283.48,-1.497410532234985,2.5636065438030093,,,,,,,,,,,,,,,,,,,,
2273.88,2273.88,2271.01,6.6334188,1.892120327401444,2024-01-01 00:45:00,2273.88,2273.88,2271.01,2271.01,6.6334188,,2281.429983652414,2283.046,,,,,,,,0.0,0.0,-24.58964325,,,-2.869999999999891,1.0012637548931973,0.0012637548931972,0.9987378401674673,1.0,2277.9440000000004,4.045251906,4.748487127496731,3.4082958928206795,-1.4602545639953342,0.7593727115805234,2271.01,2281.94,-0.9128949400720404,-1.0364939404540543,2283.046,4.125928181,6.746331019318869,2.960676569240584,-1.7840808530641588,0.8469316253761463,2271.01,2293.02,-0.320875675130402,-0.2442549774900878,,,,,,,,,,
2276.55,2276.55,2274.36,2.95153012,1.082323720627055,2024-01-01 00:50:00,2276.55,2276.55,2274.36,2275.73,2.95153012,,2280.393622988339,2281.317,,,,,,,,0.0,0.0,-21.63811313,,,-0.8200000000001637,1.0009629082467155,0.0009623285714913,0.999639805846566,1.000602367259361,2276.772,4.630725954000001,4.328194773806136,2.7285101489309125,-0.2407470214385939,-0.6154259073062069,2271.01,2281.94,-0.115058454325523,-1.0626284823822232,2281.317,3.766326962,6.089751043990289,2.850191361561868,-0.9174430875156312,-0.2858744339023966,2271.01,2290.38,-0.1907949760400983,-0.59211031525875,,,,,,,,,,
