timestamp,open,high,low,close,volume
2024-01-01 00:00:00,2293.17,2293.23,2292.08,2293.02,6.54754231
2024-01-01 00:05:00,2292.42,2293.59,2290.38,2290.38,3.11034561
2024-01-01 00:10:00,2289.77,2289.77,2288.61,2288.61,7.15090229
2024-01-01 00:15:00,2288.41,2288.41,2285.25,2285.25,4.14128025
2024-01-01 00:20:00,2283.48,2283.48,2283.48,2283.48,0.08295182
2024-01-01 00:25:00,2281.56,2281.59,2281.56,2281.59,0.02415988
2024-01-01 00:30:00,2283.89,2284.2,2280.1,2280.1,3.473233
2024-01-01 00:35:00,2280.78,2281.95,2280.54,2281.94,1.78727697
2024-01-01 00:40:00,2279.42,2279.42,2273.22,2275.08,8.30817088
2024-01-01 00:45:00,2273.88,2273.88,2271.01,2271.01,6.6334188
2024-01-01 00:50:00,2276.55,2276.55,2274.36,2275.73,2.95153012
2024-01-01 00:55:00,2272.69,2275.56,2272.3,2273.75,9.17255855
2024-01-01 01:00:00,2273.44,2277.84,2273.44,2277.84,7.2278561
2024-01-01 01:05:00,2277.99,2277.99,2277.99,2277.99,0.24
2024-01-01 01:10:00,2276.61,2276.61,2271.56,2272.39,13.33139421
2024-01-01 01:15:00,2271.36,2272.22,2271.35,2272.22,0.53121021
2024-01-01 01:20:00,2269.5,2273.56,2266.12,2273.56,12.10726845
2024-01-01 01:25:00,2271.28,2271.28,2271.28,2271.28,0.35
2024-01-01 01:30:00,2273.45,2275.14,2273.45,2275.14,0.858752
2024-01-01 01:35:00,2274.98,2274.98,2274.92,2274.92,0.68321616
2024-01-01 01:40:00,2273.71,2273.71,2273.71,2273.71,0.32988163
2024-01-01 01:45:00,2272.51,2275.21,2272.51,2275.21,14.76034643
2024-01-01 01:50:00,2276.19,2278.26,2275.67,2278.26,6.74816173
2024-01-01 01:55:00,2278.45,2278.45,2278.45,2278.45,0.3292058
2024-01-01 02:00:00,2279.66,2281.69,2276.34,2276.34,6.20065446
2024-01-01 02:05:00,2279.07,2279.07,2279.07,2279.07,0.24
2024-01-01 02:10:00,2280.94,2282.89,2280.94,2282.89,7.30425342
2024-01-01 02:15:00,2282.31,2282.31,2280.84,2281.04,2.65359588
2024-01-01 02:20:00,2280.94,2281.45,2280.67,2280.67,0.89960513
2024-01-01 02:30:00,2280.09,2280.09,2280.09,2280.09,0.24
2024-01-01 02:35:00,2278.41,2278.41,2278.41,2278.41,0.09466631
2024-01-01 02:40:00,2278.25,2278.49,2278.25,2278.49,0.55124
2024-01-01 02:45:00,2278.79,2278.79,2275.88,2275.88,0.53580007
2024-01-01 02:50:00,2276.04,2276.04,2275.57,2275.57,0.53910703
2024-01-01 02:55:00,2272.35,2275.48,2272.35,2274.89,0.98783079
2024-01-01 03:00:00,2276.36,2276.37,2276.36,2276.37,0.32947481
2024-01-01 03:05:00,2278.0,2278.12,2277.01,2277.32,21.82386877
