open,high,low,volume,log(volume)
2300.96,2302.53,2300.96,0.5101072,-0.6731343792734348
2302.32,2302.32,2300.92,1.49797175,0.40411202643923383
2301.23,2301.23,2301.23,0.24,-1.4271163556401458
2299.61,2299.61,2299.61,0.3261957,-1.1202577709789814
2303.82,2303.82,2303.82,0.00514156,-5.270398743616937
2305.21,2305.21,2304.46,0.56537396,-0.5702678906728879
2301.62,2301.62,2301.61,0.50977518,-0.6737854739844332
2301.47,2301.47,2300.72,0.86617405,-0.14366940908953327
2300.06,2301.73,2300.06,2.06723249,0.7262107513944009
2302.41,2302.41,2302.41,0.42884428,-0.8466614096316271
2302.34,2302.49,2302.34,2.30045645,0.8331075597669526
2303.49,2303.49,2302.21,27.74585709,3.323086534992923
2302.76,2305.09,2302.21,2.81368698,1.0344957158311656
2306.71,2307.04,2305.25,0.09890248,-2.3136209648336883
2305.04,2305.08,2302.41,1.74478201,0.556629625214805
2300.82,2300.82,2299.33,10.45252269,2.3468433550187693
2301.4,2301.4,2301.4,0.7,-0.35667494393873245
2301.33,2301.33,2301.33,0.05370396,-2.924268537169441
2303.94,2304.05,2303.94,0.5825,-0.5404260935422814
2306.15,2306.22,2306.15,0.6699963,-0.40048308900043345
2306.25,2306.95,2304.95,10.93294271,2.391780498339835
2306.74,2306.74,2306.08,0.71,-0.342490308946776
2305.59,2305.72,2305.59,0.79,-0.23572233352106983
2307.64,2307.64,2305.24,0.5817647,-0.5416892085328188
2303.23,2303.23,2296.12,4.32384538,1.4641451405807175
2295.27,2300.4,2295.27,11.68461547,2.4582730594476296
2300.38,2300.38,2300.38,0.1838793,-1.6934757148818975
2299.69,2299.85,2299.69,0.96267928,-0.03803496523029199
2301.65,2301.65,2299.35,3.07308514,1.122681988589475
2298.98,2298.98,2298.21,0.95281429,-0.04833526315259055
2302.16,2304.62,2302.16,2.42672997,0.8865446597386986
2303.92,2304.07,2302.32,0.44,-0.8209805520698302
2300.74,2301.9,2300.74,5.3029326,1.66825998828731
2302.44,2302.44,2299.59,1.0538793,0.05247792743266576
2300.68,2300.68,2300.41,0.33390201,-1.0969077122842497
2301.39,2301.43,2299.63,10.90052348,2.388810813769975
2301.79,2301.79,2301.79,0.00402138,-5.516130151677445
2301.68,2301.68,2301.68,0.07468733,-2.5944448130095252
2301.79,2302.09,2300.55,2.49139759,0.9128438341417805
2303.05,2307.87,2303.05,2.02732255,0.7067159815988957
2308.24,2308.73,2308.24,0.6175509,-0.48199378472730287
2307.3,2310.93,2305.76,23.62834708,3.162447138688718
2308.52,2311.75,2308.52,9.43714933,2.2446539567987087
2310.76,2316.79,2310.76,30.73451202,3.4253861932197545
2316.54,2317.73,2312.55,16.22406177,2.78649543472401
2314.22,2314.23,2314.22,1.0,0.0
2313.38,2316.6,2313.3,13.8029551,2.624882706920118
2314.79,2315.42,2313.68,7.2378749,1.9793276412121346
2312.61,2316.57,2312.35,11.91569511,2.4778564479174494
2316.77,2317.78,2315.93,10.64514063,2.3651035091553143
2317.37,2318.88,2315.57,21.56597297,3.071116747097322
2312.16,2312.16,2307.77,6.76277094,1.9114327084347116
2308.28,2311.26,2306.42,11.12702898,2.4093771916477715
2310.57,2310.57,2310.08,5.12049072,1.6332502782086977
2310.4,2314.06,2308.04,3.9801629,1.3813227481069923
2313.18,2313.18,2311.81,2.64228622,0.9716445348273689
2311.71,2313.19,2309.85,3.59946755,1.280785931745592
2313.08,2313.08,2311.16,0.33070602,-1.1065254553499775
2308.88,2311.13,2306.47,8.4151916,2.1300385962486845
2311.26,2312.17,2311.26,2.94363789,1.079646193980941
2314.58,2315.45,2314.3,9.03943711,2.20159690587252
2314.9,2314.9,2313.04,3.09046,1.1283199471439311
